Cantidad;Periodo_Cartera;Segmento;Tipo_Cotizante;Grupo_Producto;SEXO;Tipo_Trabajador
17;202203;Rentas Masivas;Pensionado;CB;Masculino;Independiente
1;202106;Rentas Medias;Pensionado;CB + PENS;Masculino;Independiente
82;202102;Rentas Medias;Pensionado;VIDA;Femenino;Dependiente
14;202203;Prime;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Independiente
11;202102;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB + PENS;Femenino;Dependiente
22;202110;Prime;Pensionado;CB;Masculino;Independiente
8;202106;Alto Patrimonio;Pensionado;AFP_VOL + CB;Femenino;Independiente
8;202204;Rentas Medias;Pensionado;AFP_VOL + VIDA;Femenino;Independiente
1;202101;Prime;Pensionado;CB;Femenino;NULL
1;202111;Prime;Pensionado;AFP_VOL + VIDA;Femenino;Independiente
3;202111;Alto Valor;Pensionado;CB + VIDA;Masculino;Dependiente
63;202109;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Independiente
4;202107;Alto Patrimonio;Pensionado;APO + CB + VIDA;Masculino;Dependiente
1784;202205;Rentas Medias;Afiliado no Pensionado;APO;Femenino;Independiente
1;202110;Alto Valor;Pensionado;CB + VIDA + PENS;Masculino;Dependiente
2801;202107;Prime;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
86;202105;Alto Valor;Pensionado;APO + AFP_VOL;Femenino;Dependiente
8;202206;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + PENS;Masculino;Dependiente
3;202110;Rentas Medias;Pensionado;AFP_VOL + VIDA;Masculino;NULL
164;202208;Rentas Masivas;No Cotizante;AFP_VOL + CB;Femenino;NULL
5;202105;Rentas Masivas;Afiliado no Pensionado;APO + PENS;Masculino;Dependiente
6;202102;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Femenino;Dependiente
8;202105;Rentas Masivas;Pensionado;APO + AFP_VOL;Femenino;Independiente
3;202204;Rentas Medias;Afiliado no Pensionado;CB;Masculino;Independiente
39;202112;Alto Patrimonio;Pensionado;AFP_VOL + CB + VIDA;Masculino;Dependiente
7;202206;Alto Patrimonio;Pensionado;CB;Masculino;NULL
6;202206;Rentas Medias;Pensionado;AFP_VOL + CB + PENS;Masculino;Independiente
4;202101;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB + VIDA + PENS;Masculino;Independiente
2;202204;Rentas Masivas;Afiliado no Pensionado;CB;Femenino;Independiente
571;202109;Rentas Masivas;Afiliado no Pensionado;AFP_VOL;Femenino;Independiente
9;202106;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Femenino;Dependiente
11;202105;Prime;Afiliado no Pensionado;AFP_VOL;Femenino;Dependiente
15;202110;Prime;Pensionado;APO + AFP_VOL + PENS;Masculino;Independiente
15;202105;Alto Valor;Pensionado;CB + PENS;Masculino;Dependiente
746;202202;Rentas Masivas;Pensionado;AFP_VOL;Femenino;Independiente
310;202202;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Dependiente
1808;202109;Alto Valor;No Cotizante;VIDA;Femenino;NULL
15;202105;Alto Valor;Pensionado;AFP_VOL + CB + PENS;Masculino;Independiente
15;202107;Prime;Pensionado;CB + PENS;Masculino;Dependiente
32;202206;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
3;202204;Alto Valor;Pensionado;CB + VIDA;Femenino;Dependiente
3120;202103;Rentas Masivas;No Cotizante;CB;Masculino;NULL
1022;202203;Prime;No Cotizante;VIDA;Masculino;NULL
65;202202;Alto Patrimonio;Afiliado no Pensionado;APO + CB;Femenino;Dependiente
15;202203;Alto Valor;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Independiente
2;202203;Alto Valor;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
2;202101;Rentas Masivas;No Cotizante;APO;Femenino;Independiente
22;202111;Prime;Pensionado;CB + PENS;Femenino;Dependiente
8;202205;Rentas Masivas;Pensionado;CB;Masculino;NULL
31617;202111;Rentas Masivas;Afiliado no Pensionado;APO;Femenino;Independiente
29;202202;Alto Patrimonio;No Cotizante;AFP_VOL + CB;Femenino;NULL
128;202102;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Dependiente
2;202110;Alto Valor;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Independiente
2;202101;Rentas Medias;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
39;202111;Alto Patrimonio;Pensionado;CB + VIDA;Masculino;Dependiente
169;202107;Prime;No Cotizante;AFP_VOL;Femenino;NULL
3;202105;Rentas Masivas;Pensionado;APO + CB;Masculino;Independiente
2195;202101;Prime;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
66;202112;Alto Valor;Afiliado no Pensionado;AFP_VOL;Masculino;Dependiente
2;202105;Rentas Medias;Pensionado;APO + AFP_VOL + CB;Femenino;Dependiente
1;202201;Alto Patrimonio;No Cotizante;CB + VIDA + PENS;Masculino;NULL
2;202112;Prime;Afiliado no Pensionado;VIDA;Masculino;Independiente
4;202202;Alto Valor;Pensionado;AFP_VOL + CB;Masculino;NULL
150;202108;Alto Patrimonio;No Cotizante;VIDA;Femenino;NULL
610;202104;Rentas Medias;Pensionado;AFP_VOL + PENS;Masculino;Independiente
57;202207;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Independiente
29;202109;Alto Patrimonio;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Dependiente
9;202111;Rentas Masivas;Pensionado;CB;Femenino;NULL
30;202104;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
260;202105;Rentas Medias;Afiliado no Pensionado;APO + VIDA;Femenino;Dependiente
8;202202;Rentas Masivas;Pensionado;APO + AFP_VOL;Masculino;Independiente
607;202208;Alto Patrimonio;No Cotizante;CB;Femenino;NULL
18;202205;Rentas Masivas;Pensionado;CB + PENS;Masculino;Dependiente
1;202104;Alto Valor;Pensionado;APO + VIDA;Masculino;Independiente
5;202208;Alto Patrimonio;Pensionado;CB + PENS;Masculino;Independiente
4;202102;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
41;202204;Alto Valor;Pensionado;AFP_VOL;Femenino;Independiente
115;202102;Rentas Masivas;Pensionado;APO + PENS;Masculino;Independiente
23;202206;Alto Valor;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
116;202112;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
22;202206;Rentas Masivas;Pensionado;CB;Femenino;Independiente
1;202107;Prime;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
11;202208;Alto Valor;Afiliado no Pensionado;AFP_VOL;Masculino;Independiente
30;202109;Rentas Masivas;Pensionado;AFP_VOL + CB;Femenino;Dependiente
582;202208;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
142104;202206;Rentas Medias;Afiliado no Pensionado;APO;Masculino;Dependiente
1;202202;Alto Valor;Pensionado;APO + VIDA + PENS;Femenino;Independiente
1;202101;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA;Femenino;NULL
3;202202;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
319;202108;Alto Valor;Afiliado no Pensionado;APO + CB;Femenino;Dependiente
80;202102;Prime;No Cotizante;AFP_VOL + VIDA;Masculino;NULL
3;202101;Prime;Afiliado no Pensionado;CB;Masculino;Dependiente
6;202111;Rentas Medias;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
1;202106;Prime;Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Independiente
11;202107;Alto Valor;Pensionado;VIDA + PENS;Masculino;Dependiente
3;202206;Alto Valor;Pensionado;CB;Masculino;NULL
6196;202112;Rentas Masivas;Pensionado;AFP_VOL;Femenino;Dependiente
1;202207;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Femenino;NULL
14;202107;Prime;Pensionado;APO + AFP_VOL + CB + PENS;Femenino;Dependiente
8;202206;Rentas Medias;Pensionado;APO + AFP_VOL + CB + PENS;Femenino;Dependiente
1887;202103;Prime;No Cotizante;CB;Masculino;NULL
62;202204;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Independiente
5;202102;Rentas Medias;Pensionado;AFP_VOL + VIDA;Femenino;Independiente
35;202101;Alto Patrimonio;Pensionado;AFP_VOL + PENS;Femenino;Dependiente
12;202203;Rentas Masivas;Afiliado no Pensionado;CB;Masculino;Dependiente
1;202206;Alto Valor;Afiliado no Pensionado;APO + PENS;Femenino;Dependiente
92;202202;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Dependiente
463;202111;Prime;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Independiente
1;202110;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
2852;202107;Rentas Masivas;Pensionado;APO;Masculino;Dependiente
2;202110;Alto Valor;Pensionado;CB + VIDA;Masculino;Independiente
66;202108;Alto Valor;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Dependiente
1;202201;Prime;Pensionado;APO + AFP_VOL + VIDA;Masculino;Independiente
176;202202;Alto Valor;Pensionado;AFP_VOL + PENS;Femenino;Independiente
1007;202207;Alto Valor;Afiliado no Pensionado;APO;Masculino;Independiente
125;202201;Rentas Masivas;Pensionado;APO + PENS;Masculino;Independiente
151;202207;Prime;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Independiente
88;202206;Alto Valor;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Dependiente
1;202201;Alto Valor;Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
2;202102;Prime;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
1;202106;Rentas Medias;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Independiente
2;202207;Prime;Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
4;202206;Alto Patrimonio;Pensionado;APO + AFP_VOL;Masculino;Dependiente
916;202102;Prime;No Cotizante;VIDA;Masculino;NULL
63;202109;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
207;202112;Alto Patrimonio;Afiliado no Pensionado;APO + CB;Masculino;Dependiente
10;202107;Prime;Pensionado;CB;Masculino;NULL
163;202204;Rentas Masivas;No Cotizante;AFP_VOL + CB;Femenino;NULL
85;202201;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Independiente
46;202204;Alto Patrimonio;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Dependiente
442;202105;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
1;202104;Alto Patrimonio;Pensionado;VIDA;Femenino;Independiente
1;202101;Prime;Pensionado;APO + CB;Femenino;Dependiente
1;202208;Rentas Masivas;Pensionado;APO + AFP_VOL + CB + PENS;Femenino;Dependiente
199;202101;Prime;No Cotizante;AFP_VOL + CB;Masculino;NULL
3;202201;Rentas Medias;Pensionado;VIDA;Masculino;NULL
4;202102;Alto Valor;Pensionado;APO + CB;Femenino;Dependiente
3;202108;Alto Patrimonio;Pensionado;VIDA + PENS;Femenino;Dependiente
6786;202110;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Independiente
2;202204;Alto Valor;Pensionado;APO + AFP_VOL + CB + VIDA + PENS;Masculino;Dependiente
137;202111;Prime;Afiliado no Pensionado;APO + CB;Femenino;Dependiente
7;202111;Rentas Medias;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Independiente
32;202207;Rentas Medias;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
374;202206;Rentas Masivas;Pensionado;AFP_VOL;Femenino;NULL
8;202103;Alto Patrimonio;Pensionado;AFP_VOL + CB;Femenino;Independiente
1;202107;Prime;Afiliado no Pensionado;AFP_VOL + VIDA;Femenino;Dependiente
1605;202202;Alto Valor;Afiliado no Pensionado;APO + AFP_VOL;Femenino;Independiente
4;202109;Prime;Pensionado;AFP_VOL + CB + VIDA + PENS;Masculino;Independiente
3;202205;Alto Valor;Pensionado;CB;Masculino;NULL
11;202111;Rentas Medias;Pensionado;APO + PENS;Masculino;Independiente
24;202208;Prime;Pensionado;APO + AFP_VOL + PENS;Femenino;Dependiente
54351;202102;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
7;202205;Rentas Medias;Pensionado;AFP_VOL + VIDA + PENS;Femenino;Independiente
8;202112;Rentas Medias;Afiliado no Pensionado;CB;Masculino;Dependiente
3;202103;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
64;202101;Prime;Pensionado;CB;Femenino;Dependiente
713;202202;Rentas Masivas;Pensionado;AFP_VOL;Masculino;NULL
891;202110;Rentas Masivas;Pensionado;AFP_VOL + PENS;Masculino;Independiente
49;202204;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Independiente
2;202208;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB;Femenino;Dependiente
1;202202;Rentas Masivas;Afiliado no Pensionado;VIDA;Femenino;Independiente
19;202106;Rentas Masivas;Pensionado;CB + PENS;Masculino;Dependiente
10779;202103;Rentas Masivas;Pensionado;AFP_VOL;Masculino;Dependiente
2;202201;Rentas Masivas;Pensionado;AFP_VOL + CB;Masculino;NULL
30;202102;Rentas Medias;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Dependiente
1;202208;Rentas Medias;Pensionado;AFP_VOL + CB + VIDA + PENS;Femenino;Independiente
1;202106;Prime;Afiliado no Pensionado;CB;Femenino;Dependiente
6750;202105;Rentas Masivas;Pensionado;AFP_VOL + PENS;Femenino;Dependiente
5;202102;Alto Patrimonio;Pensionado;VIDA + PENS;Masculino;Dependiente
68;202201;Prime;No Cotizante;AFP_VOL + CB + VIDA;Masculino;NULL
1;202202;Prime;Afiliado no Pensionado;CB;Femenino;Independiente
10;202208;Prime;Pensionado;AFP_VOL;Femenino;NULL
31;202205;Prime;Afiliado no Pensionado;APO + CB;Femenino;Independiente
3061;202101;Rentas Masivas;Afiliado no Pensionado;AFP_VOL;Femenino;Dependiente
2;202111;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Femenino;Dependiente
55;202102;Alto Valor;Pensionado;AFP_VOL + CB;Masculino;Dependiente
362;202112;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
43821;202104;Rentas Masivas;Afiliado no Pensionado;APO;Masculino;Independiente
2;202105;Prime;Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
5;202202;Alto Patrimonio;Pensionado;AFP_VOL + VIDA + PENS;Femenino;Independiente
1;202207;Alto Patrimonio;Pensionado;VIDA + PENS;Femenino;Independiente
3;202202;Rentas Medias;Pensionado;CB;Femenino;NULL
2;202208;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Masculino;Dependiente
5;202205;Alto Valor;Pensionado;APO + PENS;Femenino;Independiente
7;202201;Alto Valor;Pensionado;APO + AFP_VOL;Masculino;Independiente
3;202202;Rentas Medias;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
7;202207;Rentas Medias;Afiliado no Pensionado;VIDA;Femenino;Independiente
1;202208;Alto Valor;Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
233;202110;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Dependiente
2;202112;Alto Patrimonio;Pensionado;AFP_VOL + CB + VIDA;Masculino;NULL
51377;202207;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL;Masculino;Dependiente
31441;202206;Rentas Masivas;No Cotizante;AFP_VOL;Femenino;NULL
1168;202204;Rentas Masivas;Pensionado;AFP_VOL + PENS;Femenino;Independiente
1;202109;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
1;202105;Alto Patrimonio;Pensionado;VIDA + PENS;Femenino;Independiente
15;202106;Prime;Pensionado;APO + AFP_VOL + PENS;Masculino;Independiente
1;202207;Rentas Medias;Pensionado;APO + VIDA + PENS;Masculino;Dependiente
1;202108;Prime;Pensionado;CB + VIDA;Masculino;NULL
1;202106;Alto Patrimonio;Afiliado no Pensionado;VIDA;Masculino;Independiente
1;202107;Prime;Pensionado;APO + CB + VIDA + PENS;Masculino;Dependiente
4;202202;Rentas Medias;Pensionado;APO + CB + PENS;Masculino;Dependiente
12;202203;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
14;202108;Rentas Masivas;Afiliado no Pensionado;AFP_VOL;Femenino;NULL
24;202204;Rentas Medias;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
1;202201;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Femenino;NULL
139;202104;Rentas Masivas;Pensionado;CB;Masculino;Dependiente
3;202111;Rentas Medias;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
1;202110;Alto Patrimonio;Afiliado no Pensionado;VIDA;Masculino;Independiente
16;202201;Alto Patrimonio;Pensionado;AFP_VOL + PENS;Femenino;Independiente
1;202109;Rentas Medias;Pensionado;CB + PENS;Femenino;NULL
1;202107;Rentas Medias;Pensionado;APO + AFP_VOL + CB;Femenino;Dependiente
4;202105;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
543;202109;Rentas Medias;Pensionado;APO + AFP_VOL;Masculino;Dependiente
1;202104;Alto Valor;Pensionado;AFP_VOL + CB + VIDA;Masculino;NULL
7;202101;Rentas Medias;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Independiente
210;202201;Alto Valor;Pensionado;APO + AFP_VOL + PENS;Femenino;Dependiente
2;202201;Alto Patrimonio;Pensionado;APO + AFP_VOL + CB;Femenino;Dependiente
24;202207;Prime;Pensionado;APO + AFP_VOL;Masculino;Dependiente
22;202203;Alto Patrimonio;No Cotizante;AFP_VOL;Femenino;NULL
1;202108;Alto Valor;Afiliado no Pensionado;AFP_VOL + CB;Masculino;NULL
8;202104;Prime;Pensionado;CB;Masculino;NULL
7;202101;Alto Patrimonio;Pensionado;APO + AFP_VOL;Masculino;Dependiente
501;202110;Alto Valor;Afiliado no Pensionado;APO;Femenino;Independiente
3464;202101;Rentas Masivas;Pensionado;APO + PENS;Femenino;Dependiente
28;202204;Prime;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
36;202111;Alto Valor;Afiliado no Pensionado;APO + VIDA;Femenino;Independiente
2;202108;Alto Patrimonio;Afiliado no Pensionado;CB + VIDA;Femenino;Independiente
73;202111;Prime;No Cotizante;AFP_VOL + CB + VIDA;Masculino;NULL
1;202102;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Independiente
3;202112;Prime;Pensionado;APO + CB + VIDA;Femenino;Dependiente
15;202206;Alto Valor;Pensionado;APO + AFP_VOL + CB + PENS;Femenino;Dependiente
32;202205;Prime;Pensionado;APO + AFP_VOL + CB + PENS;Masculino;Dependiente
66;202201;Alto Valor;Pensionado;AFP_VOL + CB;Masculino;Dependiente
2;202110;Alto Valor;Pensionado;CB;Masculino;NULL
4;202204;Alto Patrimonio;Pensionado;AFP_VOL + VIDA;Femenino;Dependiente
79;202105;Prime;Pensionado;CB;Masculino;Dependiente
1;202108;Alto Patrimonio;Pensionado;APO + VIDA + PENS;Femenino;Dependiente
1;202208;Rentas Masivas;Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
40;202109;Alto Patrimonio;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Dependiente
33;202208;Alto Valor;No Cotizante;AFP_VOL + CB + VIDA;Femenino;NULL
12;202206;Alto Patrimonio;Pensionado;CB + PENS;Femenino;Dependiente
2647;202110;Rentas Medias;Pensionado;AFP_VOL;Masculino;Dependiente
9;202208;Alto Valor;Pensionado;AFP_VOL + CB;Masculino;Independiente
11;202103;Alto Valor;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
2;202111;Prime;Pensionado;VIDA + PENS;Femenino;Independiente
1;202106;Rentas Masivas;No Cotizante;APO;Masculino;Independiente
3927;202103;Rentas Medias;Pensionado;AFP_VOL + PENS;Femenino;Dependiente
33;202107;Alto Valor;Pensionado;VIDA;Masculino;Dependiente
99;202204;Rentas Medias;Pensionado;AFP_VOL + CB;Masculino;Dependiente
107;202208;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
12;202109;Alto Patrimonio;Afiliado no Pensionado;APO + VIDA;Femenino;Dependiente
23;202201;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Dependiente
4;202201;Rentas Masivas;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
219;202202;Rentas Medias;Afiliado no Pensionado;AFP_VOL;Masculino;Independiente
4;202202;Prime;Pensionado;AFP_VOL + CB + VIDA;Masculino;Independiente
22;202207;Rentas Medias;Pensionado;VIDA + PENS;Masculino;Dependiente
1683;202111;Rentas Medias;Pensionado;AFP_VOL;Femenino;Dependiente
3;202108;Rentas Medias;Pensionado;APO + AFP_VOL + CB;Femenino;Dependiente
9;202108;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Femenino;Dependiente
1;202107;Alto Valor;Pensionado;CB;Femenino;NULL
56;202202;Alto Patrimonio;Pensionado;AFP_VOL + PENS;Masculino;Independiente
7;202101;Rentas Medias;Pensionado;APO + AFP_VOL;Femenino;Independiente
1;202203;Prime;Pensionado;CB;Femenino;NULL
3;202202;Alto Valor;Pensionado;CB;Masculino;NULL
10;202205;Prime;Pensionado;CB;Masculino;NULL
42;202109;Prime;Pensionado;AFP_VOL;Masculino;Independiente
4;202112;Alto Patrimonio;Pensionado;APO + CB;Masculino;Dependiente
3;202101;Alto Valor;Pensionado;AFP_VOL + VIDA;Masculino;Independiente
1;202112;Prime;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
76;202205;Alto Patrimonio;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Independiente
258;202206;Prime;Afiliado no Pensionado;APO + CB;Masculino;Dependiente
1;202201;Prime;Pensionado;APO + AFP_VOL + VIDA;Femenino;Dependiente
1;202105;Rentas Medias;Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
8;202103;Alto Patrimonio;Pensionado;CB + PENS;Femenino;Dependiente
2;202105;Prime;Afiliado no Pensionado;AFP_VOL;Masculino;Independiente
302;202112;Alto Valor;Afiliado no Pensionado;APO + CB;Femenino;Dependiente
2;202102;Rentas Medias;Afiliado no Pensionado;AFP_VOL + CB;Masculino;Dependiente
569;202111;Alto Patrimonio;No Cotizante;CB + VIDA;Masculino;NULL
151;202111;Rentas Medias;Afiliado no Pensionado;APO + VIDA;Masculino;Independiente
7;202205;Rentas Masivas;Afiliado no Pensionado;APO + PENS;Femenino;Dependiente
216;202111;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Masculino;Dependiente
2357;202202;Rentas Medias;No Cotizante;CB;Masculino;NULL
8;202204;Alto Valor;Afiliado no Pensionado;AFP_VOL;Femenino;NULL
5;202103;Rentas Masivas;No Cotizante;APO;Masculino;Dependiente
6;202106;Rentas Medias;Pensionado;APO + CB + PENS;Femenino;Dependiente
4;202204;Alto Valor;Pensionado;AFP_VOL + CB;Femenino;NULL
7;202111;Rentas Medias;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Independiente
841;202107;Rentas Masivas;Pensionado;AFP_VOL + PENS;Masculino;Independiente
8;202101;Rentas Masivas;Pensionado;CB + PENS;Femenino;Independiente
11;202104;Rentas Masivas;Afiliado no Pensionado;CB;Masculino;Dependiente
1;202105;Alto Patrimonio;Pensionado;APO + AFP_VOL + VIDA + PENS;Masculino;Independiente
130;202102;Alto Valor;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
9;202110;Alto Patrimonio;Afiliado no Pensionado;APO + CB + VIDA;Femenino;Independiente
1;202201;Alto Valor;Pensionado;APO + AFP_VOL + VIDA + PENS;Femenino;Dependiente
3056;202103;Rentas Masivas;Pensionado;APO;Masculino;Dependiente
313618;202205;Rentas Masivas;Afiliado no Pensionado;APO;Femenino;Dependiente
3;202206;Rentas Masivas;Pensionado;AFP_VOL + CB + PENS;Femenino;Independiente
238;202109;Rentas Medias;Afiliado no Pensionado;APO + VIDA;Femenino;Dependiente
5133;202101;Rentas Medias;No Cotizante;VIDA;Femenino;NULL
76;202106;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Dependiente
21;202111;Alto Patrimonio;Pensionado;CB;Masculino;Independiente
61;202111;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Masculino;Independiente
528;202206;Rentas Medias;No Cotizante;AFP_VOL + CB;Masculino;NULL
3374;202107;Alto Valor;No Cotizante;VIDA;Masculino;NULL
2;202106;Rentas Masivas;Afiliado no Pensionado;AFP_VOL + CB;Femenino;Dependiente
16;202204;Rentas Masivas;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
84;202103;Alto Patrimonio;Pensionado;AFP_VOL + VIDA + PENS;Masculino;Dependiente
656;202105;Rentas Masivas;Pensionado;APO + AFP_VOL;Masculino;Dependiente
113;202102;Prime;Afiliado no Pensionado;APO + CB + VIDA;Masculino;Dependiente
30;202103;Rentas Medias;Pensionado;APO + AFP_VOL + PENS;Femenino;Independiente
25;202112;Alto Patrimonio;No Cotizante;AFP_VOL + CB;Femenino;NULL
349;202203;Rentas Medias;Pensionado;APO + PENS;Femenino;Dependiente
2;202110;Rentas Medias;Afiliado no Pensionado;VIDA;Masculino;Independiente
7;202207;Rentas Medias;Pensionado;AFP_VOL + CB;Femenino;NULL
363;202105;Alto Valor;Afiliado no Pensionado;APO + CB;Femenino;Dependiente
8;202102;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB + VIDA;Masculino;Independiente
3174;202110;Rentas Masivas;Pensionado;APO;Masculino;Dependiente
2;202205;Rentas Medias;Afiliado no Pensionado;AFP_VOL + VIDA;Masculino;Independiente
66;202202;Rentas Medias;Afiliado no Pensionado;APO + AFP_VOL + CB;Femenino;Independiente
8;202112;Alto Valor;Pensionado;APO + CB + PENS;Masculino;Dependiente
76;202208;Alto Valor;Pensionado;AFP_VOL + CB + PENS;Masculino;Dependiente
8;202202;Rentas Medias;Afiliado no Pensionado;CB;Masculino;Dependiente
4;202101;Rentas Masivas;No Cotizante;APO;Femenino;Dependiente
32;202201;Prime;Afiliado no Pensionado;APO + CB;Femenino;Independiente
1802;202105;Alto Valor;No Cotizante;VIDA;Femenino;NULL
1;202202;Rentas Medias;Pensionado;APO + AFP_VOL + CB + VIDA + PENS;Femenino;Dependiente
1446;202201;Rentas Masivas;Pensionado;APO;Femenino;Dependiente
5;202201;Rentas Medias;Pensionado;APO + AFP_VOL;Femenino;Independiente
9;202201;Alto Patrimonio;Pensionado;CB + VIDA;Masculino;NULL
25;202103;Prime;No Cotizante;AFP_VOL + VIDA;Femenino;NULL
12;202207;Alto Patrimonio;Pensionado;AFP_VOL + VIDA;Masculino;Dependiente
31;202207;Prime;Afiliado no Pensionado;APO + AFP_VOL + VIDA;Femenino;Independiente
711;202102;Alto Valor;No Cotizante;AFP_VOL;Femenino;NULL
3;202108;Alto Patrimonio;No Cotizante;CB + PENS;Masculino;NULL
3336;202112;Alto Valor;No Cotizante;VIDA;Masculino;NULL
1;202204;Rentas Medias;Afiliado no Pensionado;AFP_VOL + CB;Masculino;Independiente
